VehicleID	Width(m)	Height(m)	Length(m)
0	2.746	3.247	11.106
1	2.679	3.829	12.574
2	2.805	3.244	11.369
3	3.076	3.672	17.347
4	3.150	3.826	11.652
5	3.397	3.861	15.339
6	2.774	3.642	11.525
7	2.718	3.791	11.025
8	3.025	3.110	17.778
9	2.789	3.796	12.938
10	2.731	3.831	13.084
11	3.057	3.797	10.917
12	2.819	3.811	12.181
13	2.794	3.727	13.079
14	2.806	3.566	12.624
15	2.773	3.888	13.252
17	2.764	3.855	12.020
18	2.838	3.807	13.409
19	2.780	3.823	14.792
20	2.773	3.817	11.282
21	2.818	3.811	13.122
22	2.791	3.764	12.577
23	2.741	3.752	13.258
24	2.775	3.527	11.098
25	2.739	3.284	11.368
26	3.019	3.264	11.302
27	2.764	3.869	11.095
28	2.781	3.851	12.888
29	2.778	3.442	7.457
